|name              |ra        |dec      |flux_1_100_gev|flux_1_100_gev_error|detection_significance|spectrum_type   |alt_gammaray_name_1|assoc_name                  |analysis_flags|
Display all params|4FGL J1619.5-5014c|16 19 30.4|-50 14 59|    2.6028e-09|          4.1069e-10|                7.9834|LogParabola     |3FGL J1619.0-5014c |                            |          8241|
Display all params|4FGL J1753.6-5014 |17 53 38.0|-50 14 27|    5.9356e-10|          5.5018e-11|               15.7585|LogParabola     |3FGL J1753.5-5010  |PMN J1753-5015              |           004|
Display all params|4FGL J1808.1-5013 |18 08 07.7|-50 13 15|    2.9852e-10|          3.8337e-11|                9.6303|PowerLaw        |3FGL J1807.8-5011  |PMN J1808-5011              |           000|
Display all params|4FGL J0009.1-5012 |00 09 11.1|-50 12 39|    1.8666e-10|          2.5355e-11|                9.6563|PowerLaw        |                   |                            |           258|
Display all params|4FGL J1401.3-5012 |14 01 20.9|-50 12 11|    2.2624e-10|          4.0408e-11|                5.7087|PowerLaw        |                   |                            |           000|
Display all params|4FGL J1644.1-5009 |16 44 07.0|-50 09 09|    5.5413e-10|          1.0582e-10|                4.8971|LogParabola     |3FGL J1643.6-5002  |                            |          8200|
Display all params|4FGL J2203.3-5009 |22 03 19.6|-50 09 04|    1.0713e-10|          2.8276e-11|                4.8285|LogParabola     |1FGL J2204.3-5017  |                            |           017|
Display all params|4FGL J1616.6-5009 |16 16 37.8|-50 09 03|    2.9382e-09|          3.1818e-10|                9.1794|LogParabola     |                   |                            |          8220|
Display all params|4FGL J0725.6-5008 |07 25 39.6|-50 08 20|    1.0950e-10|          3.0498e-11|                8.9841|LogParabola     |3FGL J0725.4-5007  |                            |           512|
Display all params|4FGL J1006.8-5007 |10 06 52.9|-50 07 58|    2.1218e-10|          4.7439e-11|                5.0328|LogParabola     |3FGL J1005.0-4959  |PMN J1006-5018              |           000|
Display all params|4FGL J1126.0-5007 |11 26 03.5|-50 07 10|    3.1389e-10|          4.3728e-11|                9.3621|LogParabola     |3FGL J1126.8-5001  |                            |           000|
Display all params|4FGL J2135.3-5006 |21 35 20.7|-50 06 05|    6.9643e-10|          4.5924e-11|               23.3229|LogParabola     |3FGL J2135.3-5008  |PMN J2135-5006              |           000|
Display all params|4FGL J0158.5-5005 |01 58 30.3|-50 05 17|    3.3423e-10|          2.9486e-11|               17.2065|PowerLaw        |                   |PMN J0158-5004              |           000|
Display all params|4FGL J0718.8-5004 |07 18 50.7|-50 04 34|    3.9186e-10|          4.2751e-11|               11.7821|LogParabola     |3FGL J0718.9-5004  |                            |           000|
Display all params|4FGL J1705.4-4850 |17 05 27.9|-48 50 02|    5.1070e-10|          8.3065e-11|                6.3028|LogParabola     |                   |                            |          8192|
Display all params|4FGL J1623.0-5004 |16 23 00.3|-50 04 32|    8.9374e-09|          4.4696e-10|               39.7834|PLSuperExpCutoff|3FGL J1622.9-5004  |PSR J1623-5005              |           000|
Display all params|4FGL J0428.7-5003 |04 28 46.2|-50 03 55|    8.8483e-11|          1.8872e-11|                5.1132|PowerLaw        |                   |PMN J0428-5005              |           000|
Display all params|4FGL J1620.8-4958c|16 20 50.8|-49 58 12|    3.9274e-09|          4.9581e-10|               11.8455|LogParabola     |                   |                            |          8242|
Display all params|4FGL J0558.7-4957 |05 58 43.1|-49 57 44|    7.9118e-11|          2.0775e-11|                4.9521|PowerLaw        |                   |                            |           256|
Display all params|4FGL J1244.2-4956 |12 44 13.4|-49 56 37|    3.5536e-10|          3.9260e-11|               11.0247|PowerLaw        |3FGL J1244.3-4955  |SUMSS J124422-495422        |           000|
Display all params|4FGL J0357.0-4955 |03 57 02.6|-49 55 57|    6.8309e-10|          3.8667e-11|               31.7350|LogParabola     |3FGL J0357.1-4957  |PKS 0355-500                |           000|
Display all params|4FGL J2329.3-4955 |23 29 19.1|-49 55 57|    8.6583e-09|          1.1956e-10|              175.2333|LogParabola     |3FGL J2329.3-4955  |PKS 2326-502                |           512|
Display all params|4FGL J0654.6-4952 |06 54 40.1|-49 52 05|    2.9594e-10|          3.1213e-11|               12.3071|PowerLaw        |                   |SUMSS J065518-495205        |           002|
Display all params|4FGL J1508.5-4951 |15 08 34.5|-49 51 44|    7.3541e-10|          6.3856e-11|               17.3069|LogParabola     |3FGL J1508.7-4956  |PMN J1508-4953              |           016|
Display all params|4FGL J1706.2-4950 |17 06 15.4|-49 50 18|    4.7866e-10|          7.7710e-11|                6.1398|LogParabola     |                   |                            |          8192|
Display all params|4FGL J0644.7-4949 |06 44 48.0|-49 49 19|    1.0689e-10|          2.5240e-11|                4.4181|LogParabola     |                   |                            |           000|
Display all params|4FGL J1536.4-4948 |15 36 24.1|-49 48 59|    1.1445e-08|          1.8450e-10|              115.6282|PLSuperExpCutoff|3FGL J1536.3-4949  |PSR J1536-4948              |           000|
Display all params|4FGL J1514.3-4946 |15 14 18.2|-49 46 16|    6.7617e-09|          1.3926e-10|               84.5052|PLSuperExpCutoff|3FGL J1514.2-4947  |PSR J1514-4946              |           000|
Display all params|4FGL J1250.9-4943 |12 50 54.4|-49 43 13|    5.5099e-10|          4.9188e-11|               17.2105|LogParabola     |3FGL J1251.0-4943  |                            |           000|
Display all params|4FGL J1816.9-4942 |18 16 58.5|-49 42 57|    1.0596e-09|          5.8645e-11|               27.6360|LogParabola     |3FGL J1816.9-4944  |PMN J1816-4943              |           000|
Display all params|4FGL J1624.1-4941c|16 24 10.3|-49 41 24|    2.2267e-09|          4.6531e-10|                6.2318|LogParabola     |2FGL J1624.0-4941c |                            |          8248|
Display all params|4FGL J1900.4-4941 |19 00 29.1|-49 41 11|    3.0432e-10|          4.1233e-11|                9.1237|LogParabola     |                   |                            |           000|
Display all params|4FGL J0450.7-4938 |04 50 44.7|-49 38 56|    1.0115e-10|          1.9388e-11|                5.9221|PowerLaw        |                   |AT20G J045102-493626        |           000|
Display all params|4FGL J2115.6-4938 |21 15 37.1|-49 38 17|    2.5301e-10|          3.0472e-11|               11.5166|PowerLaw        |                   |MRSS 235-024179             |           000|
Display all params|4FGL J1225.6-4937 |12 25 39.4|-49 37 03|    3.9609e-10|          4.7774e-11|               10.7281|LogParabola     |                   |PMN J1225-4936              |           016|
Display all params|4FGL J1622.7-4934c|16 22 44.6|-49 34 26|    4.2960e-09|          5.7364e-10|                9.5576|LogParabola     |                   |                            |          8240|
Display all params|4FGL J2348.1-4934 |23 48 08.9|-49 34 12|    1.6423e-10|          2.7978e-11|                7.5288|LogParabola     |                   |PKS 2346-498                |           002|
Display all params|4FGL J2138.3-4933 |21 38 22.7|-49 33 27|    7.3387e-11|          2.5110e-11|                4.3943|LogParabola     |3FGL J2138.2-4939  |PMN J2138-4931              |           016|
Display all params|4FGL J1434.1-4931 |14 34 10.1|-49 31 18|    1.6810e-10|          4.0593e-11|                4.4458|PowerLaw        |                   |                            |           264|
Display all params|4FGL J1305.4-4928 |13 05 27.2|-49 28 24|    9.7533e-10|          5.3832e-11|               25.6263|PowerLaw        |3FGL J1305.4-4926  |NGC 4945                    |           000|
Display all params|4FGL J2251.5-4928 |22 51 30.9|-49 28 09|    5.3096e-10|          3.7724e-11|               24.7712|LogParabola     |3FGL J2251.5-4928  |SUMSS J225128-492912        |           000|
Display all params|4FGL J1939.8-4928 |19 39 51.2|-49 28 04|    2.4815e-10|          3.1346e-11|               10.1882|PowerLaw        |3FGL J1939.6-4925  |SUMSS J193946-492539        |           000|
Display all params|4FGL J0747.5-4927 |07 47 31.6|-49 27 39|    5.6217e-10|          4.5565e-11|               19.1256|PowerLaw        |3FGL J0747.5-4927  |2MASS J07472476-4926332     |           002|
Display all params|4FGL J1620.7-4927 |16 20 43.3|-49 27 36|    2.2072e-08|          5.4435e-10|               81.8042|PLSuperExpCutoff|2FGL J1620.8-4928  |PSR J1620-4927              |           000|
Display all params|4FGL J1604.4-4927 |16 04 26.6|-49 27 20|    1.2414e-09|          1.5792e-10|                7.9223|LogParabola     |                   |                            |          8216|
Display all params|4FGL J0810.9-4926 |08 10 54.9|-49 26 11|    1.7922e-10|          3.6318e-11|                4.8422|PowerLaw        |                   |PKS 0809-492                |           000|
Display all params|4FGL J1701.3-4924 |17 01 20.4|-49 24 25|    5.8530e-10|          8.0747e-11|                7.4521|LogParabola     |3FGL J1701.1-4930  |                            |          8192|
Display all params|4FGL J1644.9-4921 |16 44 55.7|-49 21 51|    5.3512e-10|          1.1017e-10|                4.0552|LogParabola     |                   |                            |          8216|
Display all params|4FGL J1127.6-4920 |11 27 36.2|-49 20 20|    3.1346e-10|          3.7446e-11|                9.8513|PowerLaw        |                   |MRC 1125-490                |           002|
Display all params|4FGL J1551.3-4920 |15 51 23.4|-49 20 18|    3.0161e-10|          7.0211e-11|                3.5933|PowerLaw        |                   |                            |          4104|
Display all params|4FGL J1628.0-4920 |16 28 02.9|-49 20 12|    1.4348e-09|          2.8135e-10|                5.7869|LogParabola     |                   |                            |          8192|
Display all params|4FGL J1640.3-4917 |16 40 18.6|-49 17 19|    1.2873e-09|          1.3959e-10|               10.4015|LogParabola     |3FGL J1640.6-4917  |                            |          8192|
Display all params|4FGL J1626.0-4917c|16 26 02.0|-49 17 02|    1.1141e-09|          2.7366e-10|                5.7571|PowerLaw        |3FGL J1626.2-4911  |                            |          8250|
Display all params|4FGL J2322.8-4916 |23 22 49.8|-49 16 21|    6.4002e-10|          4.5697e-11|               26.7406|LogParabola     |3FGL J2322.9-4917  |SUMSS J232254-491629        |           000|
Display all params|4FGL J0743.3-4912c|07 43 20.2|-49 12 51|    2.6397e-10|          3.7570e-11|                7.9008|PowerLaw        |1FGL J0742.1-4849c |MRC 0741-490                |           048|
Display all params|4FGL J0908.7-4911 |09 08 43.0|-49 11 39|    2.5377e-09|          1.5228e-10|               19.4268|PLSuperExpCutoff|3FGL J0908.4-4916  |PSR J0908-4913              |           002|
Display all params|4FGL J0500.6-4911 |05 00 42.0|-49 11 10|    2.8267e-10|          2.6225e-11|               18.0769|PowerLaw        |                   |PMN J0500-4912              |           000|
Display all params|4FGL J0610.8-4911 |06 10 51.4|-49 11 01|    9.8102e-11|          2.4132e-11|                5.5112|PowerLaw        |                   |                            |           000|
Display all params|4FGL J0904.7-4908c|09 04 43.2|-49 08 35|    6.7508e-10|          1.2566e-10|                4.8483|LogParabola     |3FGL J0905.6-4917  |1RXS J090505.3-490324       |           056|
Display all params|4FGL J1357.9-4907 |13 57 54.2|-49 07 33|    9.6502e-11|          3.5587e-11|                3.6343|PowerLaw        |                   |                            |          4096|
Display all params|4FGL J1654.2-4907c|16 54 15.0|-49 07 13|    5.8870e-10|          7.9887e-11|                7.5110|PowerLaw        |3FGL J1654.3-4907  |                            |          8234|
Display all params|4FGL J2056.4-4904 |20 56 29.4|-49 04 19|    1.0009e-10|          2.5338e-11|                4.2196|PowerLaw        |3FGL J2054.8-4908  |SUMSS J205613-490415        |           000|
Display all params|4FGL J0918.9-4904c|09 18 56.9|-49 04 05|    4.8212e-10|          1.0249e-10|                4.7178|LogParabola     |3FGL J0918.2-4859  |                            |           040|
Display all params|4FGL J1603.8-4903 |16 03 52.0|-49 03 42|    6.0086e-09|          1.9348e-10|               64.5449|LogParabola     |3FGL J1603.9-4903  |PMN J1603-4904              |           000|
Display all params|4FGL J0624.7-4903 |06 24 47.9|-49 03 24|    1.5970e-10|          2.9405e-11|                6.8120|LogParabola     |                   |                            |           000|
Display all params|4FGL J1713.6-4902 |17 13 36.4|-49 02 09|    2.9085e-10|          6.5645e-11|                4.8835|LogParabola     |                   |                            |          8193|
Display all params|4FGL J0348.9-4859 |03 48 56.1|-48 59 53|    1.2445e-10|          1.9848e-11|                7.8576|PowerLaw        |                   |PKS 0347-491                |           000|
Display all params|4FGL J1626.5-4858c|16 26 33.3|-48 59 00|    1.6608e-09|          3.2541e-10|                4.7566|LogParabola     |                   |                            |          8244|
Display all params|4FGL J1911.4-4856 |19 11 28.9|-48 56 47|    3.2597e-10|          4.2448e-11|                9.3793|LogParabola     |                   |                            |           000|
Display all params|4FGL J0541.1-4854 |05 41 06.8|-48 54 38|    1.4930e-10|          2.4566e-11|                8.6875|PowerLaw        |                   |1RXS J054106.1-485408       |           000|
Display all params|4FGL J1109.1-4853 |11 09 06.7|-48 53 48|    2.8049e-10|          4.3074e-11|                7.2565|LogParabola     |                   |                            |           000|
Display all params|4FGL J1228.0-4853 |12 28 02.4|-48 53 05|    2.5043e-09|          8.1032e-11|               52.7493|PLSuperExpCutoff|3FGL J1227.9-4854  |PSR J1227-4853              |           002|
Display all params|4FGL J0604.5-4851 |06 04 33.4|-48 51 28|    8.8396e-11|          2.1663e-11|                4.3223|PowerLaw        |3FGL J0604.7-4849  |SUMSS J060433-484947        |           018|
Display all params|4FGL J2009.4-4849 |20 09 26.3|-48 49 29|    2.9552e-09|          8.0609e-11|               75.7370|LogParabola     |3FGL J2009.3-4849  |PKS 2005-489                |           000|
Display all params|4FGL J0901.3-4848c|09 01 23.3|-48 48 39|    6.0182e-10|          1.1279e-10|                4.6295|LogParabola     |                   |                            |           044|
Display all params|4FGL J0705.7-4848 |07 05 47.3|-48 48 26|    6.8276e-10|          4.8957e-11|               19.1724|LogParabola     |3FGL J0706.1-4849  |PMN J0705-4847              |           000|
Display all params|4FGL J1628.2-4848c|16 28 17.4|-48 48 01|    1.5101e-09|          3.3319e-10|                4.6633|LogParabola     |3FGL J1628.9-4852  |SNR G335.2+00.1             |          8250|
Display all params|4FGL J2321.9-4842 |23 21 59.1|-48 42 30|    1.6043e-10|          2.8878e-11|                7.2650|PowerLaw        |                   |                            |           018|
Display all params|4FGL J2357.0-4840 |23 57 03.8|-48 40 15|    1.7197e-10|          2.4105e-11|                9.8228|PowerLaw        |                   |PKS 2354-489                |           000|
Display all params|4FGL J1117.5-4839 |11 17 33.1|-48 39 50|    6.2858e-11|          2.7835e-11|                1.5871|PowerLaw        |3FGL J1116.7-4854  |SUMSS J111720-483806        |          4360|
Display all params|4FGL J0246.0-4838 |02 46 05.4|-48 38 32|    8.0195e-11|          1.8731e-11|                4.7236|PowerLaw        |                   |                            |           000|
Display all params|4FGL J0823.7-4838 |08 23 47.2|-48 38 28|    3.4117e-10|          5.3083e-11|                7.4653|PowerLaw        |3FGL J0823.6-4838  |PMN J0823-4837              |           004|
Display all params|4FGL J0025.4-4838 |00 25 28.2|-48 38 19|    1.4734e-10|          2.4425e-11|                7.4171|PowerLaw        |                   |                            |           020|
Display all params|4FGL J1609.6-4837 |16 09 36.3|-48 37 38|    7.3027e-10|          1.2522e-10|                5.2169|LogParabola     |                   |                            |          8200|
Display all params|4FGL J2235.3-4836 |22 35 21.8|-48 36 05|    6.7625e-10|          3.9231e-11|               30.6375|LogParabola     |3FGL J2235.3-4835  |PKS 2232-488                |           000|
Display all params|4FGL J1843.4-4835 |18 43 28.2|-48 35 29|    1.7462e-10|          3.2412e-11|                6.7967|PowerLaw        |                   |PKS 1839-48                 |           000|
Display all params|4FGL J0106.9-4832 |01 06 58.5|-48 32 05|    8.2702e-11|          1.7806e-11|                5.2633|PowerLaw        |                   |PMN J0106-4831              |           000|
Display all params|4FGL J1211.8-4817 |12 11 49.8|-48 17 41|    1.2558e-10|          2.9308e-11|                4.3057|PowerLaw        |                   |PMN J1211-4822              |           000|
Display all params|4FGL J0526.2-4830 |05 26 17.1|-48 30 54|    3.7766e-09|          8.2679e-11|               93.7789|LogParabola     |3FGL J0526.2-4829  |PKS 0524-485                |           000|
Display all params|4FGL J0704.3-4829 |07 04 20.2|-48 29 05|    2.1265e-10|          3.6556e-11|                9.7119|PowerLaw        |3FGL J0704.3-4828  |                            |           000|
Display all params|4FGL J2023.8-4828 |20 23 53.4|-48 28 21|    1.1333e-10|          2.6281e-11|                4.2728|PowerLaw        |                   |PMN J2023-4826              |           000|
Display all params|4FGL J0532.0-4827 |05 32 00.5|-48 27 39|    2.9060e-09|          7.7370e-11|               75.3594|LogParabola     |3FGL J0532.0-4827  |PMN J0531-4827              |           000|
Display all params|4FGL J1219.0-4827 |12 19 05.8|-48 27 17|    5.1190e-10|          4.8780e-11|               14.0301|LogParabola     |3FGL J1218.8-4827  |PMN J1219-4826              |           000|
Display all params|4FGL J1631.7-4826c|16 31 45.5|-48 26 13|    1.2276e-09|          2.6582e-10|                4.7754|PowerLaw        |3FGL J1632.4-4820  |                            |          8228|
Display all params|4FGL J1648.4-4824 |16 48 26.6|-48 24 31|    4.9190e-10|          9.9367e-11|                4.6745|PowerLaw        |3FGL J1648.5-4829  |                            |           258|
Display all params|4FGL J2108.3-4824 |21 08 21.4|-48 24 31|    9.0996e-11|          2.6643e-11|                2.9443|PowerLaw        |3FGL J2107.7-4822  |PMN J2107-4827              |          4096|
Display all params|4FGL J1150.6-4823 |11 50 39.0|-48 23 26|    3.6030e-10|          4.1945e-11|               16.1534|LogParabola     |3FGL J1150.7-4816  |PKS 1149-480                |           004|
Display all params|4FGL J1759.1-4822 |17 59 08.0|-48 22 40|    6.4035e-10|          5.5565e-11|               15.6717|LogParabola     |3FGL J1759.1-4822  |PMN J1758-4820              |           000|
Display all params|4FGL J1629.3-4822c|16 29 19.3|-48 22 28|    2.7018e-09|          3.1706e-10|                8.1414|LogParabola     |                   |                            |          8236|
Display all params|4FGL J0713.8-4820c|07 13 48.9|-48 20 51|    1.3582e-10|          2.7628e-11|                5.0602|PowerLaw        |                   |                            |           032|
Display all params|4FGL J1421.6-4819 |14 21 39.0|-48 19 54|    1.5159e-10|          4.2409e-11|                5.3556|LogParabola     |                   |PMN J1421-4820              |           000|
Display all params|4FGL J2112.9-4818 |21 12 56.2|-48 18 24|    1.1726e-10|          2.5890e-11|                4.7268|PowerLaw        |                   |SUMSS J211257-481742        |           000|
Display all params|4FGL J1508.4-4817 |15 08 25.1|-48 17 02|    3.0566e-10|          5.4044e-11|                7.0486|LogParabola     |                   |                            |           000|
Display all params|4FGL J0604.1-4816 |06 04 11.4|-48 16 47|    2.8552e-10|          3.1362e-11|               16.0447|PowerLaw        |3FGL J0604.1-4817  |1ES 0602-482                |           000|
Display all params|4FGL J0910.3-4816c|09 10 21.1|-48 16 04|    5.5678e-10|          1.1492e-10|                4.9133|LogParabola     |                   |                            |          8238|
Display all params|4FGL J1109.7-4814 |11 09 46.4|-48 14 43|    1.7492e-10|          3.2825e-11|                5.5566|PowerLaw        |3FGL J1109.4-4815  |PMN J1109-4815              |           016|
Display all params|4FGL J1656.9-4814 |16 56 55.9|-48 14 15|    6.3679e-10|          1.0351e-10|                6.0793|LogParabola     |                   |                            |          8474|
Display all params|4FGL J0127.4-4813 |01 27 28.8|-48 13 28|    2.1823e-10|          2.4208e-11|               12.7509|PowerLaw        |                   |PMN J0127-4813              |           000|
Display all params|4FGL J0652.1-4813 |06 52 09.6|-48 13 16|    1.4520e-10|          2.5773e-11|                7.5169|PowerLaw        |3FGL J0652.0-4808  |1RXS J065201.0-480858       |           000|
Display all params|4FGL J1603.0-4808 |16 03 01.8|-48 08 14|    5.5613e-10|          9.3521e-11|                5.7984|LogParabola     |                   |                            |          8216|
Display all params|4FGL J2353.1-4806 |23 53 09.4|-48 06 39|    2.4835e-10|          2.6175e-11|               13.7459|PowerLaw        |3FGL J2353.3-4805  |2MASS J23531112-4806045     |           000|
Display all params|4FGL J0314.4-4805 |03 14 29.1|-48 05 05|    1.2521e-10|          2.0992e-11|                7.3346|PowerLaw        |                   |                            |           000|
Display all params|4FGL J1641.4-4803c|16 41 29.7|-48 03 44|    1.1523e-09|          1.8878e-10|                5.6295|LogParabola     |                   |                            |          8233|
Display all params|4FGL J1608.8-4803 |16 08 53.5|-48 03 31|    4.3915e-10|          9.6925e-11|                3.9103|PowerLaw        |2FGL J1610.1-4808  |                            |         12312|
Display all params|4FGL J1702.5-4803 |17 02 34.6|-48 03 14|    3.2163e-10|          8.1459e-11|                3.4334|PowerLaw        |                   |                            |         12304|
Display all params|4FGL J0420.6-4802 |04 20 41.5|-48 02 53|    4.3624e-11|          1.5309e-11|                3.5892|LogParabola     |                   |                            |          4096|
Display all params|4FGL J2043.9-4802 |20 43 55.6|-48 02 23|    6.6551e-10|          4.9891e-11|               19.4333|LogParabola     |3FGL J2043.8-4801  |                            |           000|
Display all params|4FGL J1547.4-4802 |15 47 24.0|-48 02 21|    8.8290e-10|          8.3318e-11|               12.5115|LogParabola     |                   |                            |           000|
Display all params|4FGL J0902.5-4801 |09 02 35.2|-48 01 21|    8.5871e-10|          1.1821e-10|                7.3389|LogParabola     |                   |PMN J0903-4805              |           012|
Display all params|4FGL J0025.7-4801 |00 25 44.4|-48 01 09|    2.9442e-10|          3.2111e-11|               13.4560|LogParabola     |                   |SUMSS J002545-480356        |           000|
Display all params|4FGL J2325.4-4800 |23 25 24.0|-48 00 08|    1.4957e-09|          5.8316e-11|               49.9208|LogParabola     |3FGL J2325.4-4758  |PKS 2322-482                |           000|
Display all params|4FGL J1720.2-4757 |17 20 17.8|-47 57 21|    2.7234e-10|          6.3450e-11|                5.2745|LogParabola     |                   |SNR G343.0-06.0             |          8193|
Display all params|4FGL J2343.0-4756 |23 43 04.6|-47 56 52|    2.0632e-10|          3.8715e-11|                8.8340|LogParabola     |3FGL J2343.0-4748  |                            |           000|
Display all params|4FGL J1631.6-4756e|16 31 41.3|-47 56 24|    2.7331e-09|          5.2675e-10|                9.2540|PowerLaw        |                   |HESS J1632-478              |           020|
Display all params|4FGL J0917.9-4755 |09 17 54.7|-47 55 44|    9.6304e-10|          1.1406e-10|                9.8485|LogParabola     |                   |                            |           000|
Display all params|4FGL J0746.6-4754 |07 46 40.7|-47 54 56|    1.9361e-09|          6.9861e-11|               51.7362|LogParabola     |3FGL J0746.6-4756  |PMN J0746-4755              |           000|
Display all params|4FGL J2213.5-4754 |22 13 32.9|-47 54 21|    1.8194e-10|          2.6135e-11|               10.8178|PowerLaw        |3FGL J2213.6-4755  |SUMSS J221330-475426        |           000|
Display all params|4FGL J2159.8-4751 |21 59 51.0|-47 51 06|    2.8512e-10|          3.1266e-11|               13.6669|PowerLaw        |                   |PMN J2200-4751              |           000|
Display all params|4FGL J1705.1-4748 |17 05 08.3|-47 48 51|    6.1030e-10|          9.4467e-11|                6.1953|LogParabola     |                   |                            |          8200|
Display all params|4FGL J1514.8-4748 |15 14 48.0|-47 48 51|    1.4537e-09|          7.5172e-11|               28.4902|LogParabola     |3FGL J1514.5-4750  |PMN J1514-4748              |           002|
Display all params|4FGL J0259.1-4748 |02 59 08.1|-47 48 27|    8.3364e-11|          1.8660e-11|                5.2692|PowerLaw        |                   |                            |           000|
Display all params|4FGL J2240.7-4746 |22 40 44.8|-47 46 25|    1.7445e-10|          2.4895e-11|               10.9280|PowerLaw        |                   |SUMSS J224042-474733        |           000|
Display all params|4FGL J1633.0-4746e|16 33 02.2|-47 46 12|    2.3762e-08|          1.0935e-09|               29.3527|LogParabola     |                   |HESS J1632-478              |           000|
Display all params|4FGL J1923.0-4746 |19 23 00.4|-47 46 07|    5.2168e-11|          2.0820e-11|                4.0998|LogParabola     |                   |                            |           000|
Display all params|4FGL J0231.2-4745 |02 31 17.0|-47 45 55|    9.5083e-10|          4.2683e-11|               48.6051|LogParabola     |                   |PMN J0231-4746              |           000|
Display all params|4FGL J1731.7-4744 |17 31 42.2|-47 44 38|    9.7065e-11|          3.8836e-11|                4.5509|PLSuperExpCutoff|                   |PSR J1731-4744              |           018|
Display all params|4FGL J0156.8-4744 |01 56 52.0|-47 44 07|    3.9133e-10|          2.9983e-11|               20.2730|PowerLaw        |3FGL J0156.9-4742  |2MASS J01564603-4744174     |           000|
Display all params|4FGL J0416.0-4743 |04 16 00.7|-47 44 00|    6.0533e-11|          1.7154e-11|                3.4522|PowerLaw        |                   |PMN J0415-4737              |          4096|
Display all params|4FGL J1634.0-4742c|16 34 05.8|-47 42 09|    6.4458e-09|          5.7390e-10|               12.2072|LogParabola     |2FGL J1634.4-4743c |                            |          8242|
Display all params|4FGL J0728.0-4740 |07 28 04.0|-47 40 12|    1.3015e-10|          4.5205e-11|                3.8715|PowerLaw        |                   |PKS 0726-476                |          4112|
Display all params|4FGL J2342.4-4739 |23 42 25.9|-47 39 54|    4.5165e-10|          4.5217e-11|               12.4846|LogParabola     |                   |                            |           016|
Display all params|4FGL J1803.5-4739 |18 03 31.6|-47 39 09|    1.6150e-10|          4.6366e-11|                5.4961|PowerLaw        |                   |                            |           000|
Display all params|4FGL J0911.6-4738c|09 11 40.0|-47 38 25|    5.5946e-10|          9.5730e-11|                5.7940|PowerLaw        |                   |                            |          8228|
Display all params|4FGL J1655.5-4737e|16 55 31.9|-47 37 55|    1.3881e-09|          1.6061e-10|               10.0698|PowerLaw        |                   |                            |           004|
Display all params|4FGL J0851.2-4737 |08 51 14.4|-47 37 31|    1.9798e-10|          7.4909e-11|                4.4545|PowerLaw        |                   |                            |           004|
Display all params|4FGL J0004.4-4737 |00 04 26.2|-47 37 24|    4.6118e-10|          3.3880e-11|               23.3387|LogParabola     |3FGL J0004.7-4740  |PKS 0002-478                |           000|
Display all params|4FGL J0328.4-4736 |03 28 24.2|-47 36 57|    3.4384e-10|          2.8409e-11|               18.3976|PowerLaw        |                   |                            |           002|
Display all params|4FGL J1132.2-4736 |11 32 13.4|-47 36 47|    3.8320e-10|          3.8935e-11|               13.7000|PowerLaw        |3FGL J1132.0-4736  |SUMSS J113209-473856        |           000|
Display all params|4FGL J1733.7-4734 |17 33 47.1|-47 34 33|    3.9356e-10|          5.9115e-11|               12.9917|PowerLaw        |                   |SNR G343.0-06.0             |           000|
Display all params|4FGL J0214.1-4733 |02 14 11.1|-47 33 28|    1.0407e-10|          2.0943e-11|                6.5355|PowerLaw        |                   |2MASS J02140989-4732357     |           000|
Display all params|4FGL J2329.3-4733 |23 29 21.5|-47 33 21|    2.6906e-10|          2.9109e-11|               13.3096|PowerLaw        |3FGL J2329.9-4734  |PKS 2326-477                |           000|
Display all params|4FGL J1636.3-4731e|16 36 19.0|-47 31 23|    1.0488e-08|          5.3807e-10|               27.4687|LogParabola     |                   |SNR G337.0-00.1             |           000|
Display all params|4FGL J1535.8-4730 |15 35 50.1|-47 30 31|    2.1304e-10|          4.9844e-11|                3.8048|PowerLaw        |                   |PMN J1535-4730              |          4112|
Display all params|4FGL J0140.5-4730 |01 40 32.6|-47 30 17|    1.1089e-10|          2.4187e-11|                5.0045|LogParabola     |                   |                            |           000|
Display all params|4FGL J0606.5-4730 |06 06 34.0|-47 30 14|    2.9636e-10|          3.3784e-11|               14.1269|LogParabola     |3FGL J0606.4-4729  |RX J060635.9-473001         |           000|
Display all params|4FGL J1326.6-4729 |13 26 39.7|-47 29 35|    1.8010e-09|          9.8014e-11|               25.8848|LogParabola     |3FGL J1326.7-4727  |Omega Cen                   |           000|
Display all params|4FGL J0859.2-4729 |08 59 13.0|-47 29 18|    1.9222e-09|          1.2692e-10|               17.8929|LogParabola     |3FGL J0859.3-4732  |                            |          8192|
Display all params|4FGL J1328.5-4727 |13 28 32.2|-47 27 41|    7.2138e-10|          7.0787e-11|               19.9046|PowerLaw        |3FGL J1328.5-4728  |2MASS J13284063-4727496     |           000|
Display all params|4FGL J0726.4-4727 |07 26 27.1|-47 27 32|    9.7349e-10|          6.0538e-11|               20.6503|LogParabola     |3FGL J0726.6-4727  |PMN J0726-4728              |           000|
Display all params|4FGL J0902.5-4727 |09 02 33.4|-47 27 13|    6.1798e-10|          1.0401e-10|                6.8332|PowerLaw        |1FGL J0902.5-4731c |                            |          8220|
Display all params|4FGL J1622.5-4726 |16 22 32.4|-47 26 06|    7.4853e-10|          1.1625e-10|                6.2030|PowerLaw        |                   |                            |          8204|
Display all params|4FGL J1959.7-4725 |19 59 47.4|-47 25 57|    1.1949e-09|          5.7610e-11|               39.2977|LogParabola     |3FGL J1959.8-4725  |1RXS J195945.8-472531       |           000|
