name,IAUID,ra,dec,peakt,peakfilt,peakmag,peakabs,duration,rise,fade,type,redshift,b,A_V
ZTF23abbskff,SN2023ruq,03:33:20.31,-15:30:08.5,2207.96,r,18.8765,-16.82,>19,>11.98,>7.02,SN Ic,0.02923,-50.73694541,0.229
ZTF23abctedl,SN2023sps,23:44:15.20,-23:31:44.9,2212.83,r,18.8974,-17.79,>2.96,>2.96,>0,SN Ia-91bg,0.049,-74.4115141,0.057
ZTF23abcufxh,SN2023spg,00:11:56.30,-07:46:19.5,2209.87,g,18.1755,-19.51,>25.226,>8.99,16.236,SN Ia,0.075,-68.49907166,0.093
ZTF23abdynfn,SN2023syg,20:49:40.99,-14:43:26.5,2214.69,r,18.8061,-18.99,28.366,8.146,20.22,SN Ia,0.07797,-32.72139606,0.166
ZTF23aberpzw,SN2023swf,21:05:58.52,-14:50:30.3,2221.73,r,18.6036,-16.61,47.058,14.167,32.891,SN II,0.024,-36.39215585,0.167
ZTF23abfmlft,SN2023sys,04:12:20.01,-06:45:14.6,2225.96,r,18.8084,-17.06,20.739,11.498,9.241,SN Ia,0.03159,-38.24905105,0.225
ZTF23abfroaw,SN2023tjl,21:57:39.91,-19:49:18.5,2224.81,g,17.4705,-19.77,23.99,11.062,12.928,SN Ia,0.062,-49.68668492,0.073
ZTF23abfvoig,SN2023xoo,01:52:44.87,-03:23:56.1,2291.65,r,16.9059,-17.48,29.832,16.137,13.695,SN IIb,0.017,-62.11109906,0.077
ZTF23abgfwhj,SN2023tnh,20:51:34.85,-03:29:12.3,2226.73,r,18.7068,-18.36,25.92,12.99,12.93,SN Ia,0.056,-28.18892594,0.159
ZTF23abghttj,SN2023tnc,23:12:21.56,-22:07:36.1,2216.77,g,18.5365,-18.24,>20.723,>4.98,15.743,SN II,0.05,-66.97626697,0.074
ZTF23abgjggv,SN2023tnb,01:12:51.68,-23:49:17.2,2223.79,g,18.0651,-19.21,22.199,10.06,12.139,SN Ia,0.063,-84.14339917,0.068
ZTF23abgzrmz,SN2023tsy,00:31:52.45,-03:37:41.7,2220.89,g,17.7438,-19.45,>19.903,>7.02,12.883,SN Ia,0.059,-66.03950365,0.12
ZTF23abhxbjo,SN2023tzx,22:43:30.31,-14:48:36.1,2227.75,r,18.649,-18.83,>16.9,>5.96,>10.94,SN Ia,0.069,-57.81883437,0.11
ZTF23abhyroo,SN2023udb,04:25:05.77,-10:18:51.9,2235.93,r,18.7297,-17.23,39.72,13.818,25.902,SN II,0.03265,-37.12259051,0.254
ZTF23abhyssf,SN2023uas,04:26:19.78,-11:59:20.2,2233.94,r,18.4489,-17.36,>29.363,>11.96,17.403,SN II,0.032,-37.57714814,0.122
ZTF23abigzke,SN2023ulg,01:18:44.18,-23:31:42.6,2235.83,g,18.3285,-19.74,25.099,8.948,16.151,SN Ia,0.09,-82.85996075,0.073
ZTF23abjarpv,SN2023wwx,22:43:08.73,-23:47:30.9,2284.65,r,18.9595,-21.69,>56.89,>49.91,>6.98,SLSN-I,0.29,-60.92817344,0.066
ZTF23abjazdg,SN2023ulq,22:24:26.06,-11:55:26.9,2244.65,g,17.5219,-19.61,26.839,11.026,15.813,SN Ia,0.0571,-52.365622,0.13
