observations
ZTF17aaapufz has a peak observation at 1726.75
ZTF17aaazdba has a peak observation at 561.73
ZTF17aabtvsy has a peak observation at 1870.99
ZTF17aacldgo has a peak observation at 1897.75
ZTF17aacpbmv has a peak observation at 2261.83
ZTF17aadlxmv has a peak observation at 879.69
ZTF18aaaibml has a peak observation at 909.8
ZTF18aaaonon has a peak observation at 1703.77
ZTF18aaaqexr has a peak observation at 891.92
ZTF18aabdajx has a peak observation at 1637.87
ZTF18aabdgik has a peak observation at 428.0
ZTF18aabkvpi has a peak observation at 2016.85
ZTF18aabssth has a peak observation at 218.71
ZTF18aabtxvd has a peak observation at 223.67
ZTF18aabxlsv has a peak observation at 224.68
ZTF18aaceepu has a peak observation at 1850.01
ZTF18aacemcn has a peak observation at 839.01
ZTF18aacnlxz has a peak observation at 1181.02
ZTF18aadlaxo has a peak observation at 1266.65
ZTF18aadmssd has a peak observation at 504.76
ZTF18aadsuxd has a peak observation at 1168.99
ZTF18aadxnul has a peak observation at 1469.97
ZTF18aadzfso has a peak observation at 892.78
ZTF18aaegvyd has a peak observation at 638.71
ZTF18aaeipng has a peak observation at 1672.68
ZTF18aaemivw has a peak observation at 424.04
ZTF18aaeqjmc has a peak observation at 2261.96
ZTF18aaermez has a peak observation at 514.91
ZTF18aaezzww has a peak observation at 2196.01
ZTF18aafdigb has a peak observation at 2233.99
ZTF18aafpfwr has a peak observation at 1471.97
ZTF18aafzers has a peak observation at 1248.75
ZTF18aagpzjk has a peak observation at 217.66
ZTF18aagrdcs has a peak observation at 217.9
ZTF18aagrtxs has a peak observation at 214.73
ZTF18aagstdc has a peak observation at 210.86
ZTF18aagtcxj has a peak observation at 219.95
ZTF18aagtwyh has a peak observation at 1384.7
ZTF18aahatvc has a peak observation at 985.78
ZTF18aahesrp has a peak observation at 217.69
ZTF18aahfbqp has a peak observation at 1205.93
ZTF18aahfeiy has a peak observation at 214.71
ZTF18aahfgyz has a peak observation at 218.8
ZTF18aahfqbc has a peak observation at 214.73
ZTF18aahfxnn has a peak observation at 227.75
ZTF18aahfzea has a peak observation at 217.76
ZTF18aahheaj has a peak observation at 227.77
ZTF18aahhenr has a peak observation at 222.78
ZTF18aahhqih has a peak observation at 257.72
ZTF18aahhzqn has a peak observation at 221.75
ZTF18aahjafd has a peak observation at 233.69
ZTF18aahmhxu has a peak observation at 266.73
ZTF18aahpbwz has a peak observation at 245.65
ZTF18aahptcq has a peak observation at 224.7
ZTF18aahqkbt has a peak observation at 249.66
